treatment,mom_id,egg_no,diameter_a_mm,diameter_d_mm,area_mm2
H,H2,5,0.11091,0.11342,0.0099
H,H2,6,0.11687,0.11623,0.01067
H,H2,7,0.11059,0.11168,0.00971
H,H2,8,0.1182,0.10912,0.00987
H,H2,9,0.11291,0.10846,0.00981
H,H2,10,0.1136,0.11528,0.00999
H,H2,11,0.11554,0.10843,0.00953
H,H2,12,0.1076,0.11164,0.00944
H,H2,13,0.11124,0.12198,0.0106
H,H2,14,0.10859,0.11193,0.0096
H,H2,15,0.11358,0.1155,0.01044
H,H2,16,0.10925,0.11363,0.00985
H,H2,17,0.10992,0.11507,0.00961
H,H2,18,0.10726,0.10838,0.00905
H,H2,19,0.11692,0.11698,0.01035
H,H2,20,0.11389,0.10099,0.00925
H,H2,21,0.11323,0.10587,0.00964
H,H2,22,0.1119,0.11848,0.01019
H,H2,23,0.11256,0.11094,0.00986
H,H2,24,0.11062,0.11815,0.01034
H,H2,25,0.11985,0.10191,0.00986
H,H2,26,0.11323,0.11494,0.01001
H,H2,27,0.10528,0.11611,0.0098
H,H2,28,0.11058,0.11395,0.00996
H,H2,29,0.11256,0.11455,0.01003
H,H2,30,0.10793,0.10873,0.00954
H,H3,1,0.10641,0.10997,0.00932
H,H3,2,0.11106,0.11114,0.00991
H,H3,3,0.12432,0.11237,0.01059
H,H3,4,0.11105,0.11188,0.00971
H,H3,5,0.11371,0.11218,0.00979
H,H3,6,0.11205,0.11782,0.01058
H,H3,7,0.10542,0.10525,0.00864
H,H3,8,0.1021,0.10359,0.00854
H,H3,9,0.1021,0.10929,0.00895
H,H3,10,0.10707,0.10856,0.00897
H,H3,11,0.10973,0.10952,0.00942
H,H3,12,0.11205,0.11317,0.01014
H,H3,13,0.11272,0.12096,0.01067
H,H3,14,0.10807,0.11619,0.00985
H,H3,15,0.11967,0.11372,0.01057
H,H3,16,0.11305,0.11195,0.00975
H,H3,17,0.1084,0.10613,0.00925
H,H3,18,0.10906,0.10756,0.00923
H,H3,19,0.11138,0.11079,0.00957
H,H3,20,0.10525,0.10197,0.00864
H,H3,21,0.10707,0.11554,0.00987
H,H3,22,0.11073,0.10406,0.00921
H,H3,23,0.11338,0.10371,0.00921
H,H3,24,0.11105,0.10483,0.00944
H,H3,25,0.11039,0.10632,0.0092
H,H3,26,0.10674,0.11031,0.00968
H,H3,27,0.1084,0.105,0.00887
H,H3,28,0.10608,0.10579,0.00872
H,H3,29,0.10575,0.10736,0.00889
H,H3,30,0.11139,0.11262,0.00957
